Pm[W],IA[A],N[min^(-1)],S[%],PF[%],T[N・m],η[%],,,,,,,,電球の数,,,同期速度,固定損,電機子抵抗
2511.84672,9.79,1722,4.333333333,84.45229896,13.93643179,85.14734644,,,,,,,,22,,,1800,88.4,0.8
2278.50408,9,1730,3.888888889,83.14591255,12.58332212,85.33723146,,,,,,,,20,,,,,
2054.00232,8.27,1738,3.444444444,81.33507743,11.29126927,85.58343,,,,,,,,18,,,,,
1814.38952,7.59,1745,3.055555556,78.6520379,9.934058292,85.18260657,,,,,,,,16,,,,,
1609.77128,6.93,1752,2.666666667,75.26228492,8.778527615,86.08402567,,,,,,,,14,,,,,
1402.40808,6.34,1759,2.277777778,72.5878133,7.61728443,84.99442909,,,,,,,,12,,,,,
1161.44288,5.68,1768,1.777777778,67.7641161,6.276350693,84.16252754,,,,,,,,10,,,,,
975.77792,5.2,1774,1.444444444,62.21909255,5.25519672,84.11878621,,,,,,,,8,,,,,
761.168,4.81,1779,1.166666667,56.24652356,4.08786157,78.47092784,,,,,,,,6,,,,,
552.45632,4.45,1785,0.833333333,45.1275247,2.957000054,76.73004444,,,,,,,,4,,,,,
369.45,4.16,1790,0.555555556,34.19368233,1.971942497,72.44117647,,,,,,,,2,,,,,
162.83808,3.92,1795,0.277777778,22.05690913,0.866728599,52.5284129,,,,,,,,0,,,,,
