"","V1","V2","V3","V4","V5"
"1",823.7224,825.7316,848.0316,942.3778,1067.6232
"2",759.1534,737.3146,805.1756,932.2244,1053.4726
"3",667.3356,660.037,767.772,919.032,1038.328
"4",595.1552,594.6794,733.8686,914.9486,1024.2768
"5",515.5881,521.8178,701.2004,925.249,1016.4732
"6",431.9668,489.4624,671.5582,968.0466,1018.758
"7",348.6828,577.642,641.8068,997.0422,1080.5754
"8",267.7224,710.2892,636.8566,1031.583,1117.7854
"9",402.796,840.7854,691.1488,1061.509,1146.618
"10",521.9116,979.773,752.8682,NA,1175.8694
"11",641.7018,1097.9794,827.6514,NA,1206.5124
"12",749.9013,NA,884.259,NA,NA
"13",861.9774,NA,952.1575,NA,NA
"14",991.3736,NA,1017.8578,NA,NA
"15",1115.4658,NA,1086.3788,NA,NA
